state,latest_price,mom_growth,yoy_growth
Alabama,283000,2.53623188405796,4.814814814814805
Alaska,385000,-0.5167958656330796,8.450704225352123
Arizona,456000,0.6622516556291425,3.6363636363636376
Arkansas,255000,0.0,6.25
California,833000,6.114649681528661,6.25
Colorado,583000,-3.953871499176276,-2.833333333333332
Columbia,659000,19.600725952813058,12.649572649572649
Connecticut,416000,0.24096385542169418,11.229946524064172
Delaware,352000,3.529411764705892,6.024096385542177
Florida,411000,0.24390243902439046,0.7352941176470562
Georgia,367000,2.2284122562674202,1.9444444444444375
Hawaii,740000,-4.639175257731953,0.0
Idaho,483000,0.4158004158004047,0.0
Illinois,287000,1.4134275618374659,7.490636704119846
Indiana,255000,0.0,5.809128630705396
Iowa,228000,0.4405286343612369,2.7027027027026973
Kansas,280000,6.4638783269961975,5.263157894736836
Kentucky,264000,-0.37735849056603765,5.179282868525892
Louisiana,246000,-2.3809523809523836,4.237288135593231
Maine,382000,-8.39328537170264,5.524861878453047
Maryland,413000,0.7317073170731714,2.9925187032418865
Massachusetts,614000,-1.602564102564108,6.412478336221827
Michigan,252000,2.4390243902439046,6.329113924050622
Minnesota,353000,2.9154518950437414,6.646525679758297
Mississippi,253000,0.7968127490039834,3.2653061224489743
Missouri,258000,2.7888446215139417,7.499999999999996
Montana,523000,-3.1481481481481444,5.231388329979869
Nebraska,289000,3.9568345323740983,3.584229390680993
Nevada,457000,0.439560439560438,2.4663677130044803
New Hampshire,481000,-1.6359918200409052,7.606263982102912
New Jersey,521000,-2.7985074626865725,9.224318658280929
New Mexico,358000,3.7681159420289934,8.814589665653493
New York,577000,0.3478260869565153,15.631262525050094
North Carolina,367000,0.0,1.6620498614958512
North Dakota,283000,3.663003663003672,15.983606557377051
Ohio,242000,4.31034482758621,6.140350877192979
Oklahoma,244000,3.3898305084745672,2.9535864978903037
Oregon,505000,-0.19762845849802257,3.2719836400818103
Pennsylvania,283000,-1.0489510489510523,7.604562737642584
Rhode Island,491000,-3.5363457760314354,7.675438596491224
South Carolina,382000,0.79155672823219,5.817174515235468
South Dakota,320000,1.5873015873015817,2.893890675241151
Tennessee,381000,-0.5221932114882533,3.2520325203251987
Texas,339000,1.1940298507462588,-0.2941176470588225
Utah,549000,-3.1746031746031744,2.425373134328357
Vermont,388000,-6.28019323671497,7.182320441988943
Virginia,444000,4.470588235294115,5.714285714285716
Washington,629000,3.966942148760322,1.7799352750809128
West Virginia,249000,1.6326530612244872,0.809716599190291
Wisconsin,310000,2.310231023102305,8.391608391608397
Wyoming,484000,16.626506024096386,15.238095238095228
